qualtrics_question_num,headline_summary,partisanship_diff,partisanship_dem,partisanship_rep,partisanship_combined,partisanship_baseline,likelihood_diff,likelihood_dem,likelihood_rep,likelihood_combined,sensational_diff,sensational_dem,sensational_rep,sensational_combined,impactful_diff,impactful_dem,impactful_rep,impactful_combined,familiar_diff,familiar_dem,familiar_rep,familiar_combined,sharing_diff,sharing_dem,sharing_rep,sharing_combined
1, “Blacks 4 Trump” Group Caught Using Blackface To Pretend They Have Black Members    -08-26-17-22-32.jpg,-0.29,2.63,2.92,2.775,0.725,-0.08,2.75,2.83,2.79,-1.08,4,5.08,4.54,-0.71,3.12,3.83,3.475,-0.8,1.91,2.71,2.31,-0.47,2.28,2.75,2.515
2, Biden Buys Film Rights To New ‘MAD’ Movie Just To Piss Off Trump    -08-26-00-30-46.jpg,-0.83,2.62,3.45,3.035,0.465,0.23,2.38,2.15,2.265,-0.14,4.1,4.24,4.17,0.05,2.69,2.64,2.665,-0.24,1.79,2.03,1.91,-0.18,2.34,2.52,2.43
3," Staring At Hard Times, Tucker Carlson May Be Forced To Sell Bow Tie Collection    -08-26-00-49-36.jpg",-0.16,2.77,2.93,2.85,0.65,0.81,2.63,1.82,2.225,-0.33,4.13,4.46,4.295,0.81,2.27,1.46,1.865,0.83,2.33,1.5,1.915,1.07,2.57,1.5,2.035
4, Steve Bannon Is Now Selling “Freedom Yogurt” Made Of White People’s Semen    -08-26-17-24-12.jpg,-0.18,2.92,3.1,3.01,0.49,0.21,2.56,2.35,2.455,-0.04,4.76,4.8,4.78,0.34,2.44,2.1,2.27,0.05,2,1.95,1.975,0.68,2.68,2,2.34
5, SUPREME COURT GRANTS BLACK MAN “40 ACRES OF LAND AND A MULE”    -08-26-17-20-53.jpg,0.54,2.95,2.41,2.68,0.82,0.33,2.63,2.3,2.465,0.03,3.81,3.78,3.795,0.23,2.56,2.33,2.445,-0.02,1.72,1.74,1.73,0.58,2.28,1.7,1.99
6, Trump Is Suing His Grandchildren For Violating NDA’s He Made Them Sign As Infants    -08-26-17-29-37.jpg,0,2.33,2.33,2.33,1.17,0.79,2.6,1.81,2.205,-0.47,3.97,4.44,4.205,0.89,2.37,1.48,1.925,-0.02,1.5,1.52,1.51,0.43,2.1,1.67,1.885
7, Trump Orders Americans To Stop Eating Chinese Food    -08-26-01-07-25.jpg,0.86,3.39,2.53,2.96,0.54,0.65,2.36,1.71,2.035,-1.07,4.28,5.35,4.815,-0.35,1.94,2.29,2.115,0.03,1.44,1.41,1.425,0.62,1.86,1.24,1.55
8, Trump Routinely Forced Staffers To Shred And Eat White House Documents    -08-26-17-35-30.jpg,-0.37,2.22,2.59,2.405,1.095,0.81,2.5,1.69,2.095,-0.94,3.94,4.88,4.41,0.87,3.28,2.41,2.845,-0.03,1.69,1.72,1.705,0.36,2.14,1.78,1.96
9, Trump Threatens To Sue Founding Fathers    -08-26-00-46-37.jpg,-0.29,2.71,3,2.855,0.645,0.62,2.94,2.32,2.63,-0.59,4.44,5.03,4.735,0.77,3.12,2.35,2.735,0.48,2.38,1.9,2.14,0.65,2.91,2.26,2.585
10, Trump Voter Wants Taco Bell Shut Down For ‘Being Too Mexican’    -08-26-00-31-55.jpg,-0.02,3.04,3.06,3.05,0.45,0.75,2.75,2,2.375,-0.54,3.79,4.33,4.06,0.73,2.43,1.7,2.065,0.67,2,1.33,1.665,0.36,2.36,2,2.18
11, biden-orders-arrest-of-black-leaders-while-his-elites-mock-appalachia-flood-victims    -08-24-21-32-47.jpg,0.09,4.54,4.45,4.495,0.995,-0.48,1.97,2.45,2.21,0.71,4.92,4.21,4.565,-0.62,3.24,3.86,3.55,0.47,1.81,1.34,1.575,0.12,2.46,2.34,2.4
12, breaking-hillary-clinton-found-dead-under-suspicious-circumstances    -04-07-21-30-23.jpg,0.36,4.39,4.03,4.21,0.71,-0.02,1.84,1.86,1.85,0.4,4.84,4.44,4.64,0.49,3.77,3.28,3.525,0.27,1.8,1.53,1.665,-0.28,2.41,2.69,2.55
13, Delta Force Arrests Chelsea Clinton    -08-26-00-47-43.jpg,-0.15,3.89,4.04,3.965,0.465,0.01,2.82,2.81,2.815,-0.04,4.26,4.3,4.28,0.09,3.16,3.07,3.115,-0.25,1.71,1.96,1.835,-0.26,2.37,2.63,2.5
14, f_Kamala military are cowards.png,-0.6,4.02,4.62,4.32,0.82,-0.13,2.95,3.08,3.015,0.55,4.66,4.11,4.385,0.18,3.8,3.62,3.71,0.66,2.61,1.95,2.28,-0.09,2.83,2.92,2.875
15, ilhan omar spits on the tomb.png,-0.34,4.07,4.41,4.24,0.74,-0.44,2.73,3.17,2.95,0.37,4.03,3.66,3.845,-0.87,3.03,3.9,3.465,0.24,2.03,1.79,1.91,-0.67,2.33,3,2.665
16, malia obama arrested again.png,-0.44,4.15,4.59,4.37,0.87,-0.3,2.81,3.11,2.96,0.83,4.69,3.86,4.275,-0.35,2.62,2.97,2.795,0.32,2.08,1.76,1.92,-0.19,2.35,2.54,2.445
17, QAnon Wants You To Pee On Your Kids So Democrats Can’t Smell Their Youthful Blood    -08-26-17-25-36.jpg,0.48,4.24,3.76,4,0.5,-0.04,1.92,1.96,1.94,0.72,5.16,4.44,4.8,0.38,2.66,2.28,2.47,-0.1,1.74,1.84,1.79,-0.05,1.87,1.92,1.895
18, Special Forces Arrest Deep State Dr. Anthony Fauci    -08-25-18-22-35.jpg,-0.48,4.06,4.54,4.3,0.8,-0.11,2.39,2.5,2.445,0.37,4.26,3.89,4.075,-0.44,3.06,3.5,3.28,-0.03,1.68,1.71,1.695,-0.11,2.39,2.5,2.445
19, WOW! Biden Caught Fake Driving — Someone Else Is Steering Vehicle — It Was All a Stunt! — VIDEO and PICS    -08-26-23-49-09.jpg,-1.33,3.21,4.54,3.875,0.375,0.32,2.82,2.5,2.66,0.23,4.11,3.88,3.995,0.12,2.54,2.42,2.48,-0.29,1.75,2.04,1.895,0.07,2.07,2,2.035
20, YOKO ONO_ “I HAD AN AFFAIR WITH HILLARY CLINTON IN THE ’70S”    -08-26-17-33-06.jpg,0.93,4.41,3.48,3.945,0.445,-0.64,2,2.64,2.32,0.51,4.07,3.56,3.815,-0.47,1.37,1.84,1.605,-0.7,1.22,1.92,1.57,-0.36,1.52,1.88,1.7
21,biden-administration-cancels-another-9-billion-in-student-loan-debt-for-former-for-profit-college-st    -09-03-22-36-58.jpg,-0.21,2.92,3.13,3.025,0.475,-0.51,4.26,4.77,4.515,0.21,3.08,2.87,2.975,-0.65,4.03,4.68,4.355,-0.24,2.82,3.06,2.94,-0.48,2.62,3.1,2.86
22,biden-has-tamped-down-talk-of-primary-challenge-for-now    -09-03-22-00-49.jpg,0.05,3.05,3,3.025,0.475,0.12,4,3.88,3.94,0.09,2.97,2.88,2.925,0.19,3.32,3.13,3.225,-0.05,2.16,2.21,2.185,0.33,2.37,2.04,2.205
23,biden-warns-that-american-values-are-under-assault-by-trump-led-extremism    -09-03-22-04-10.jpg,-0.22,2.67,2.89,2.78,0.72,0.8,4.3,3.5,3.9,-1.45,2.59,4.04,3.315,1.11,4.15,3.04,3.595,0.03,2.96,2.93,2.945,0.27,2.81,2.54,2.675
24,digital-world-acquisition-corp-urges-shareholders-to-delay-merger-with-trump-media    -09-03-21-36-58.jpg,-0.42,2.5,2.92,2.71,0.79,0.65,4.19,3.54,3.865,-0.07,3.31,3.38,3.345,0.77,3.44,2.67,3.055,1.02,2.56,1.54,2.05,0.92,2.84,1.92,2.38
25,ex-nypd-officer-sentenced-to-record-10-years-for-jan-riot    -09-03-21-20-53.jpg,-0.51,2.2,2.71,2.455,1.045,0.49,4.65,4.16,4.405,-0.28,2.59,2.87,2.73,0.02,3.96,3.94,3.95,0.25,2.7,2.45,2.575,0.63,3.02,2.39,2.705
26,garland-perilous-path-to-prosecuting-trump    -09-03-21-56-50.jpg,-0.21,2.74,2.95,2.845,0.655,-0.06,4.32,4.38,4.35,-0.19,3.24,3.43,3.335,0.39,3.68,3.29,3.485,1.07,3.26,2.19,2.725,0.43,3,2.57,2.785
27,is-there-such-thing-as-joe-biden-superfan    -09-03-22-06-29.jpg,0.18,2.42,2.24,2.33,1.17,0.5,4.22,3.72,3.97,0.05,3.25,3.2,3.225,0.37,2.53,2.16,2.345,0.44,2.36,1.92,2.14,0.85,2.61,1.76,2.185
28,the-dangers-of-trump-prosecution-syndrome    -09-03-21-56-30.jpg,-0.81,2.23,3.04,2.635,0.865,2.27,4.85,2.58,3.715,-1.54,2.46,4,3.23,0.77,4.04,3.27,3.655,0.07,2.42,2.35,2.385,0.54,2.27,1.73,2
29,trump-ally-lindsey-graham-must-testify-in-georgia-grand-jury-investigation-federal-judge-rules    -09-03-21-26-53.jpg,-0.32,2.43,2.75,2.59,0.91,0.56,4.73,4.17,4.45,-0.8,2.41,3.21,2.81,0.93,4.22,3.29,3.755,0.65,3.32,2.67,2.995,0.37,2.7,2.33,2.515
30,trump-truth-social-barred-from-google-play-store-over-content-moderation-concerns    -09-03-21-55-19.jpg,-0.47,2.71,3.18,2.945,0.555,0.85,4.1,3.25,3.675,-0.38,3.16,3.54,3.35,0.37,3.23,2.86,3.045,0.54,2.65,2.11,2.38,0.46,2.71,2.25,2.48
31,biden-anti-maga-speech-was-ridiculous-campaign-pac-chair    -09-03-22-39-27.jpg,-1.11,3.74,4.85,4.295,0.795,-0.62,3.57,4.19,3.88,0.92,4.11,3.19,3.65,-0.59,3.04,3.63,3.335,0.43,2.65,2.22,2.435,0.11,2.67,2.56,2.615
32,bill-bennett-on-falling-reading-and-math-scores-devastation-is-the-right-word    -09-03-22-38-35.jpg,-1.15,3.85,5,4.425,0.925,-0.21,4.08,4.29,4.185,1.15,3.44,2.29,2.865,-0.3,3.82,4.12,3.97,-0.45,2.31,2.76,2.535,-0.56,2.38,2.94,2.66
33,border-patrol-agents-arrest-dozens-of-illegal-immigrant-criminals-gang-members    -09-03-22-36-49.jpg,-1.42,3.58,5,4.29,0.79,-0.55,4.58,5.13,4.855,0.73,3.29,2.56,2.925,-0.51,4.18,4.69,4.435,-0.8,2.76,3.56,3.16,-0.44,2.87,3.31,3.09
34,democratic-rep-sean-patrick-maloney-has-history-of-employing-convicts    -09-03-22-42-10.jpg,-0.3,4,4.3,4.15,0.65,-0.23,3.9,4.13,4.015,0.03,3.38,3.35,3.365,-0.17,3.05,3.22,3.135,-0.38,1.92,2.3,2.11,-0.63,2.28,2.91,2.595
35,gig-workers-tire-of-waiting-for-action-from-biden-white-house    -09-03-22-01-12.jpg,-0.31,4,4.31,4.155,0.655,-0.54,3.54,4.08,3.81,0.65,3.27,2.62,2.945,-0.15,3.04,3.19,3.115,-0.54,1.58,2.12,1.85,-0.23,2.54,2.77,2.655
36,hunter-biden-secured-dinner-for-client-at-chinese-embassy-following-luncheon-hosted-by-vp-biden-emai    -09-03-22-37-08.jpg,-0.51,3.84,4.35,4.095,0.595,-0.85,3.27,4.12,3.695,1.49,3.68,2.19,2.935,-0.53,2.7,3.23,2.965,-0.17,1.95,2.12,2.035,-0.31,1.81,2.12,1.965
37,mccarthy-says-democracy-is-on-the-ballot-in-midterms-blaming-dems-for-attacking-freedoms    -09-03-22-45-42.jpg,-0.19,4.29,4.48,4.385,0.885,-0.3,3.74,4.04,3.89,1.3,4,2.7,3.35,0.34,3.82,3.48,3.65,-0.03,2.62,2.65,2.635,0.38,2.68,2.3,2.49
38,melania-trump-felt-violated-by-fbi-agents-contaminating-her-bedroom-during-mar-lago-raid-report-says    -09-03-21-55-27.jpg,-0.22,4.21,4.43,4.32,0.82,-0.86,3.74,4.6,4.17,0.59,3.5,2.91,3.205,-1.2,2.11,3.31,2.71,-1.22,2.32,3.54,2.93,-0.76,1.84,2.6,2.22
39,trump-pledges-to-pardon-some-jan-capitol-riot-defendants    -09-03-22-42-20.jpg,-0.17,3.95,4.12,4.035,0.535,-0.17,4.35,4.52,4.435,0.1,3.38,3.28,3.33,-0.23,3.65,3.88,3.765,-0.5,2.86,3.36,3.11,0.32,2.92,2.6,2.76
40,trump-revives-claims-biden-has-dementia-after-anti-maga-speech    -09-03-22-43-07.jpg,-0.55,4.31,4.86,4.585,1.085,-1.2,3.41,4.61,4.01,1.03,4.1,3.07,3.585,-1.12,2.95,4.07,3.51,0.01,2.44,2.43,2.435,-0.91,2.13,3.04,2.585